Order_ID,Order_Date,Customer_ID,Region,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
ORD00001,2025-11-24,CUST0250,East,Ranchi,Electronics,Earphones,4,1525.0,0.1,5490.0,3749.49,1740.51,COD
ORD00002,2025-02-27,CUST0223,South,Chennai,Footwear,Sneakers,3,1073.0,0.05,3058.05,2183.93,874.12,COD
ORD00003,2025-01-13,CUST0029,West,Mumbai,Accessories,Wallet,3,893.0,0.0,2679.0,1425.11,1253.89,Card
ORD00004,2025-05-21,CUST0350,West,Mumbai,Home,Storage Box,2,828.0,0.2,1324.8,830.83,493.97,UPI
ORD00005,2025-05-06,CUST0255,North,Lucknow,Beauty,Serum,4,431.0,0.2,1379.2,962.15,417.05,UPI
ORD00006,2025-04-25,CUST0239,East,Bhubaneswar,Beauty,Shampoo,3,431.0,0.0,1293.0,974.56,318.44,Card
ORD00007,2025-03-13,CUST0218,North,Jaipur,Accessories,Backpack,3,1027.0,0.2,2464.8,1473.41,991.39,Card
ORD00008,2025-02-22,CUST0293,South,Bengaluru,Electronics,Smartwatch,4,1593.0,0.0,6372.0,3706.42,2665.58,Card
ORD00009,2025-12-13,CUST0026,East,Kolkata,Footwear,Loafers,4,1007.0,0.1,3625.2,1892.74,1732.46,Wallet
ORD00010,2025-10-07,CUST0348,Central,Indore,Home,Lamp,2,713.0,0.05,1354.7,923.14,431.56,UPI
ORD00011,2025-02-14,CUST0068,North,Jaipur,Accessories,Wallet,4,733.0,0.0,2932.0,1966.46,965.54,COD
ORD00012,2025-10-30,CUST0188,West,Mumbai,Home,Storage Box,2,596.0,0.05,1132.4,820.42,311.98,Card
ORD00013,2025-08-05,CUST0039,West,Pune,Beauty,Lipstick,3,470.0,0.0,1410.0,904.89,505.11,UPI
ORD00014,2025-01-17,CUST0275,Central,Indore,Beauty,Shampoo,1,295.0,0.15,250.75,131.3,119.45,COD
ORD00015,2025-01-16,CUST0120,East,Ranchi,Electronics,Smartwatch,4,965.0,0.1,3474.0,1904.34,1569.66,Wallet
ORD00016,2025-02-17,CUST0155,Central,Bhopal,Fashion,Jeans,1,629.0,0.15,534.65,404.43,130.22,Wallet
ORD00017,2025-04-22,CUST0121,North,Delhi,Fashion,Kurta,3,572.0,0.15,1458.6,802.51,656.09,UPI
ORD00018,2025-04-30,CUST0080,East,Ranchi,Electronics,Speaker,4,1479.0,0.2,4732.8,3374.44,1358.36,Wallet
ORD00019,2025-09-16,CUST0190,West,Ahmedabad,Accessories,Wallet,4,669.0,0.1,2408.4,1272.85,1135.55,UPI
ORD00020,2025-11-05,CUST0331,South,Bengaluru,Electronics,Speaker,1,1044.0,0.1,939.6,621.6,318.0,Card
ORD00021,2025-01-14,CUST0109,East,Kolkata,Fashion,Dress,1,885.0,0.15,752.25,409.1,343.15,COD
ORD00022,2025-10-15,CUST0284,South,Hyderabad,Fashion,Jeans,2,672.0,0.0,1344.0,988.85,355.15,UPI
ORD00023,2025-04-12,CUST0075,South,Bengaluru,Footwear,Sandals,2,1113.0,0.2,1780.8,927.33,853.47,UPI
ORD00024,2025-11-29,CUST0122,South,Hyderabad,Footwear,Loafers,1,818.0,0.05,777.1,407.09,370.01,Card
ORD00025,2025-12-26,CUST0033,East,Kolkata,Fashion,Kurta,2,631.0,0.15,1072.7,704.53,368.17,Wallet
ORD00026,2025-10-07,CUST0315,Central,Nagpur,Electronics,Smartwatch,1,1428.0,0.15,1213.8,790.18,423.62,COD
ORD00027,2025-08-03,CUST0206,West,Ahmedabad,Accessories,Watch,1,634.0,0.0,634.0,494.29,139.71,Wallet
ORD00028,2025-04-23,CUST0165,West,Ahmedabad,Accessories,Wallet,4,854.0,0.0,3416.0,2575.01,840.99,UPI
ORD00029,2025-08-18,CUST0272,East,Ranchi,Fashion,Kurta,3,624.0,0.15,1591.2,1238.91,352.29,Card
ORD00030,2025-10-29,CUST0111,North,Lucknow,Electronics,Speaker,1,1326.0,0.2,1060.8,750.43,310.37,Wallet
ORD00031,2025-05-23,CUST0049,West,Pune,Electronics,Power Bank,4,1248.0,0.15,4243.2,2665.4,1577.8,Card
ORD00032,2025-01-04,CUST0044,East,Bhubaneswar,Electronics,Smartwatch,2,1867.0,0.15,3173.9,1705.83,1468.07,COD
ORD00033,2025-03-23,CUST0288,East,Kolkata,Electronics,Earphones,1,1397.0,0.2,1117.6,859.12,258.48,Card
ORD00034,2025-12-24,CUST0308,West,Pune,Accessories,Wallet,4,648.0,0.0,2592.0,2000.46,591.54,Card
ORD00035,2025-08-05,CUST0115,Central,Nagpur,Home,Bedsheet,2,746.0,0.05,1417.4,979.07,438.33,COD
ORD00036,2025-06-24,CUST0319,North,Jaipur,Home,Storage Box,2,507.0,0.15,861.9,637.58,224.32,COD
ORD00037,2025-05-23,CUST0180,North,Delhi,Footwear,Loafers,3,1141.0,0.1,3080.7,2340.1,740.6,COD
ORD00038,2025-03-21,CUST0325,Central,Nagpur,Beauty,Serum,4,291.0,0.0,1164.0,648.22,515.78,COD
ORD00039,2025-04-21,CUST0160,West,Pune,Fashion,Kurta,4,533.0,0.1,1918.8,1076.31,842.49,Card
ORD00040,2025-06-22,CUST0042,North,Delhi,Footwear,Sneakers,2,1139.0,0.2,1822.4,971.23,851.17,Card
ORD00041,2025-02-22,CUST0263,West,Ahmedabad,Electronics,Speaker,4,1586.0,0.15,5392.4,3187.03,2205.37,COD
ORD00042,2025-02-17,CUST0024,North,Jaipur,Home,Cushion,4,670.0,0.2,2144.0,1486.77,657.23,UPI
ORD00043,2025-07-14,CUST0131,North,Delhi,Electronics,Earphones,3,1371.0,0.05,3907.35,2811.38,1095.97,Card
ORD00044,2025-02-19,CUST0273,North,Jaipur,Home,Bedsheet,4,615.0,0.05,2337.0,1293.74,1043.26,UPI
ORD00045,2025-07-03,CUST0040,North,Jaipur,Footwear,Loafers,1,807.0,0.15,685.95,360.04,325.91,Card
ORD00046,2025-06-26,CUST0011,Central,Indore,Footwear,Sports Shoes,4,957.0,0.1,3445.2,1894.67,1550.53,Card
ORD00047,2025-11-06,CUST0302,East,Kolkata,Beauty,Shampoo,4,413.0,0.0,1652.0,963.55,688.45,Wallet
ORD00048,2025-05-16,CUST0087,West,Pune,Footwear,Sneakers,3,1309.0,0.05,3730.65,2263.0,1467.65,COD
ORD00049,2025-01-23,CUST0331,Central,Nagpur,Footwear,Sneakers,2,1168.0,0.1,2102.4,1285.17,817.23,UPI
ORD00050,2025-08-24,CUST0336,South,Bengaluru,Beauty,Face Wash,2,307.0,0.05,583.3,394.67,188.63,COD
ORD00051,2025-10-02,CUST0320,West,Ahmedabad,Beauty,Shampoo,4,476.0,0.2,1523.2,1046.71,476.49,Card
ORD00052,2025-03-05,CUST0156,South,Bengaluru,Accessories,Watch,1,745.0,0.15,633.25,402.1,231.15,Card
ORD00053,2025-07-13,CUST0020,East,Ranchi,Footwear,Sneakers,1,966.0,0.1,869.4,556.46,312.94,COD
ORD00054,2025-02-10,CUST0197,North,Lucknow,Home,Storage Box,1,722.0,0.2,577.6,389.57,188.03,Wallet
ORD00055,2025-10-10,CUST0257,West,Ahmedabad,Footwear,Sneakers,2,1304.0,0.1,2347.2,1589.76,757.44,UPI
ORD00056,2025-05-31,CUST0021,North,Jaipur,Fashion,Dress,1,817.0,0.2,653.6,449.67,203.93,UPI
ORD00057,2025-11-18,CUST0145,West,Ahmedabad,Accessories,Sunglasses,2,679.0,0.1,1222.2,754.03,468.17,Wallet
ORD00058,2025-11-13,CUST0286,Central,Bhopal,Electronics,Smartwatch,3,1322.0,0.0,3966.0,2402.28,1563.72,Wallet
ORD00059,2025-07-05,CUST0073,Central,Bhopal,Home,Storage Box,3,689.0,0.0,2067.0,1388.02,678.98,Card
ORD00060,2025-10-23,CUST0330,South,Chennai,Home,Cushion,1,764.0,0.1,687.6,457.47,230.13,Card
ORD00061,2025-04-09,CUST0093,West,Ahmedabad,Beauty,Face Wash,3,411.0,0.0,1233.0,757.4,475.6,UPI
ORD00062,2025-12-27,CUST0052,South,Hyderabad,Home,Cushion,2,628.0,0.05,1193.2,644.4,548.8,COD
ORD00063,2025-02-05,CUST0320,Central,Bhopal,Accessories,Watch,4,641.0,0.05,2435.8,1369.37,1066.43,UPI
ORD00064,2025-01-24,CUST0313,North,Jaipur,Accessories,Sunglasses,3,628.0,0.05,1789.8,1381.89,407.91,Card
ORD00065,2025-12-05,CUST0241,South,Chennai,Accessories,Sunglasses,2,917.0,0.1,1650.6,1272.7,377.9,UPI
ORD00066,2025-04-27,CUST0083,West,Pune,Home,Cushion,4,809.0,0.2,2588.8,1701.2,887.6,UPI
ORD00067,2025-05-29,CUST0053,East,Kolkata,Footwear,Sandals,4,1086.0,0.1,3909.6,2596.68,1312.92,COD
ORD00068,2025-02-10,CUST0224,South,Bengaluru,Home,Bedsheet,4,767.0,0.2,2454.4,1370.32,1084.08,COD
ORD00069,2025-04-30,CUST0192,East,Kolkata,Beauty,Shampoo,4,479.0,0.0,1916.0,1193.82,722.18,UPI
ORD00070,2025-02-21,CUST0333,East,Kolkata,Electronics,Earphones,1,1237.0,0.1,1113.3,848.35,264.95,Card
ORD00071,2025-07-14,CUST0241,North,Jaipur,Beauty,Serum,4,479.0,0.05,1820.2,1305.63,514.57,Wallet
ORD00072,2025-05-23,CUST0281,North,Delhi,Footwear,Sneakers,3,1405.0,0.05,4004.25,2951.49,1052.76,Wallet
ORD00073,2025-08-21,CUST0328,South,Bengaluru,Fashion,Jeans,1,695.0,0.0,695.0,404.49,290.51,Wallet
ORD00074,2025-11-22,CUST0074,West,Ahmedabad,Fashion,T-Shirt,1,897.0,0.2,717.6,480.44,237.16,Card
ORD00075,2025-07-06,CUST0341,Central,Indore,Electronics,Earphones,2,740.0,0.2,1184.0,743.92,440.08,COD
ORD00076,2025-03-25,CUST0023,North,Lucknow,Footwear,Loafers,1,1263.0,0.15,1073.55,802.01,271.54,Wallet
ORD00077,2025-07-09,CUST0337,North,Jaipur,Home,Storage Box,1,660.0,0.1,594.0,346.12,247.88,COD
ORD00078,2025-07-01,CUST0330,South,Hyderabad,Footwear,Loafers,3,1041.0,0.2,2498.4,1519.08,979.32,UPI
ORD00079,2025-04-18,CUST0235,West,Ahmedabad,Accessories,Sunglasses,2,813.0,0.05,1544.7,828.59,716.11,COD
ORD00080,2025-12-10,CUST0264,North,Delhi,Home,Lamp,1,417.0,0.1,375.3,286.23,89.07,Wallet
ORD00081,2025-05-17,CUST0025,East,Kolkata,Footwear,Sports Shoes,2,1057.0,0.1,1902.6,1165.94,736.66,Card
ORD00082,2025-12-26,CUST0198,East,Bhubaneswar,Home,Bedsheet,4,692.0,0.15,2352.8,1770.73,582.07,Card
ORD00083,2025-12-16,CUST0041,West,Pune,Beauty,Shampoo,3,570.0,0.0,1710.0,1212.46,497.54,Wallet
ORD00084,2025-11-28,CUST0339,Central,Indore,Footwear,Sandals,3,997.0,0.0,2991.0,1617.59,1373.41,Card
ORD00085,2025-02-06,CUST0180,Central,Nagpur,Home,Cushion,4,555.0,0.05,2109.0,1474.91,634.09,Wallet
ORD00086,2025-11-08,CUST0327,Central,Indore,Fashion,Jeans,3,637.0,0.0,1911.0,1031.0,880.0,Wallet
ORD00087,2025-11-22,CUST0121,North,Delhi,Home,Lamp,4,757.0,0.0,3028.0,1673.94,1354.06,Card
ORD00088,2025-03-29,CUST0191,Central,Bhopal,Home,Cushion,2,688.0,0.15,1169.6,896.73,272.87,Wallet
ORD00089,2025-10-01,CUST0128,Central,Indore,Fashion,Kurta,4,633.0,0.1,2278.8,1569.83,708.97,COD
ORD00090,2025-05-06,CUST0134,West,Ahmedabad,Fashion,Kurta,4,765.0,0.2,2448.0,1347.91,1100.09,Wallet
ORD00091,2025-03-25,CUST0232,West,Mumbai,Beauty,Lipstick,1,458.0,0.05,435.1,322.73,112.37,UPI
ORD00092,2025-08-25,CUST0282,North,Lucknow,Accessories,Sunglasses,3,939.0,0.1,2535.3,1786.07,749.23,Card
ORD00093,2025-07-14,CUST0072,South,Bengaluru,Home,Lamp,2,568.0,0.0,1136.0,881.69,254.31,UPI
ORD00094,2025-05-19,CUST0283,East,Ranchi,Electronics,Earphones,3,1317.0,0.15,3358.35,2448.08,910.27,UPI
ORD00095,2025-11-24,CUST0210,North,Jaipur,Footwear,Sneakers,4,1022.0,0.15,3474.8,2281.83,1192.97,COD
ORD00096,2025-12-19,CUST0283,North,Jaipur,Beauty,Lipstick,4,331.0,0.2,1059.2,645.66,413.54,UPI
ORD00097,2025-10-13,CUST0085,Central,Bhopal,Beauty,Shampoo,1,474.0,0.2,379.2,212.27,166.93,UPI
ORD00098,2025-04-23,CUST0326,East,Ranchi,Home,Lamp,3,681.0,0.0,2043.0,1195.48,847.52,Card
ORD00099,2025-12-17,CUST0304,Central,Nagpur,Beauty,Lipstick,1,450.0,0.2,360.0,247.2,112.8,UPI
ORD00100,2025-06-16,CUST0329,Central,Bhopal,Beauty,Lipstick,1,431.0,0.0,431.0,229.21,201.79,Card
ORD00101,2025-01-29,CUST0280,Central,Indore,Accessories,Backpack,1,596.0,0.15,506.6,380.53,126.07,Card
ORD00102,2025-04-28,CUST0031,West,Mumbai,Accessories,Watch,4,739.0,0.1,2660.4,1697.13,963.27,UPI
ORD00103,2025-01-17,CUST0161,West,Pune,Electronics,Speaker,2,1314.0,0.1,2365.2,1602.97,762.23,Card
